anio,hogar,ingreso,personas_hogar,departamento
2011,2011021660,10233.46,1,3
2011,2011012207,17565.2916175962,4,3
2011,2011028527,42231.13,1,3
2011,2011013439,32000.0,1,3
2011,2011048450,85498.5,4,3
2011,2011053525,17274.88,3,3
2011,2011047017,32441.13,4,3
2011,2011052911,11804.73,1,3
2011,2011008911,37010.26,7,3
2011,2011047503,22361.0,2,3
2011,2011015018,34000.38,3,3
2011,2011022806,29363.68,4,3
2011,2011053667,37274.88,5,3
2011,2011019462,10000.0,2,3
2011,2011001234,11433.46,2,3
2011,2011028978,34580.74,4,3
2011,2011061357,29169.58,4,3
2011,2011001563,47146.66,4,3
2011,2011004478,15576.9266666667,2,3
2011,2011004502,39312.6568492039,6,3
2011,2011063009,84345.7381598117,5,3
2011,2011004400,36261.0,3,3
2011,2011045961,24402.34,3,3
2011,2011067078,38881.84,4,3
2011,2011018902,24582.26,2,3
2011,2011010393,49153.3866666667,5,3
2011,2011036532,44423.9770553498,6,3
2011,2011041118,88322.0,4,3
2011,2011063353,56228.08,4,3
2011,2011056012,11726.5833333333,2,3
2011,2011069753,4438.79161759618,3,4
2011,2011050611,34215.38,3,4
2011,2011004852,54394.0,5,4
2011,2011024982,36450.13,1,4
2011,2011002712,19085.61,4,4
2011,2011065967,25578.76,2,4
2011,2011019108,15146.92,2,4
2011,2011056765,18956.52,2,4
2011,2011023665,25209.36,3,4
2011,2011050042,14731.0,2,4
2011,2011048205,35798.72,2,4
2011,2011002204,14619.54,3,4
2011,2011002407,14090.26,1,4
2011,2011053166,16428.76,2,5
2011,2011008263,31530.78,4,5
2011,2011016368,29287.02,4,5
2011,2011026312,23409.36,1,5
2011,2011062267,52287.76,3,5
2011,2011030440,20180.8,1,5
2011,2011053176,63928.76,3,5
2011,2011012966,36257.52,4,5
2011,2011042473,81315.13,4,5
2011,2011050247,70328.4133333333,3,5
2011,2011065716,35653.0,1,5
2011,2011053661,21539.9781598117,4,5
2011,2011028107,35242.85,5,5
2011,2011029956,34691.42,6,5
2011,2011053540,18708.29,4,5
2011,2011009278,20000.0,2,5
2011,2011022636,9300.0,1,5
2011,2011033868,56287.8,2,5
2011,2011009958,24809.36,1,5
2011,2011056143,48686.72,2,6
2011,2011049913,20464.38,1,6
2011,2011002667,8000.0,1,6
2011,2011027158,28150.1066666667,4,6
2011,2011014191,11000.0,2,6
2011,2011025052,21409.36,2,6
2011,2011007882,19350.39,3,6
2011,2011034475,71145.71,4,6
2011,2011033780,26622.8870553498,5,6
2011,2011031770,28742.85,5,6
2011,2011046648,60109.36,2,7
2011,2011058616,19766.92,2,7
